id,degree,college_name,start_year,end_year,branch,marks,additional_info,tier_level,text,segments,created_at,updated_at,status,cid,source,extra
79760,"Bachelor of Technology, Electronics and Communication Engineering",National Institute of Technology Silchar,2016,2020,,,,-1,,{},2024-06-14 07:56:42.853876+00:00,2024-06-14 07:56:42.857145+00:00,1,40981,39439,
79761,Bachelor of Technology - BTech,Auroras Technological and Research Institute (ATRI),July 2011,July 2015,,,,-1,,{},2024-06-14 07:57:13.415148+00:00,2024-06-14 07:57:13.418455+00:00,1,40982,39440,
79762,Bachelor of Engineering,Girijananda Chowdhury Institute of Management & Technology,2013,2016,,,,-1,,{},2024-06-14 07:57:45.335813+00:00,2024-06-14 07:57:45.339801+00:00,1,40983,39441,
79763,Bachelor of Commerce - BCom,"Acharya Nagarjuna University (ANU), Guntur",June 2018,January 2022,,,,-1,,{},2024-06-14 07:58:13.463393+00:00,2024-06-14 07:58:13.466639+00:00,1,40984,39442,
79764,"Diploma of Education, Electronics and Communications Engineering",Teegala Ram Reddy College of polytechnic,July 2014,April 2017,,,,-1,,{},2024-06-14 07:58:13.470451+00:00,2024-06-14 07:58:13.473219+00:00,1,40984,39442,
79765,"SSC, Communication, General",Vishwa Bharathi High School (E/M),June 2000,May 2014,,,,-1,,{},2024-06-14 07:58:13.476694+00:00,2024-06-14 07:58:13.486615+00:00,1,40984,39442,
79768,Bachelor's degree in Statistics,Sathavahana university,June 2014,April 2017,,,,-1,,{},2024-06-14 07:59:16.947356+00:00,2024-06-14 07:59:16.954918+00:00,1,40986,39444,
79769,Intermediate in MPC,Alphores junior college,June 2012,April 2014,,,,-1,,{},2024-06-14 07:59:16.958923+00:00,2024-06-14 07:59:16.961968+00:00,1,40986,39444,
79770,SSC,Siddartha high school,,,,,,-1,,{},2024-06-14 07:59:16.965541+00:00,2024-06-14 08:00:32.284443+00:00,1,40986,39444,
79772,Bachelor's degree,Sathavahana university,June 2014,April 2017,,,,-1,,{},2024-06-14 07:59:43.723412+00:00,2024-06-14 08:00:32.274016+00:00,1,40986,39444,
79773,"Intermediate, MPC",Alphores junior college,June 2012,April 2014,,,,-1,,{},2024-06-14 07:59:43.732352+00:00,2024-06-14 08:00:32.279309+00:00,1,40986,39444,
79774,"Bachelor of Technology - BTech, Electronics and Communications Engineering","Jawaharlal Nehru Technological University, Kakinada",2016,2020,,,,-1,,{},2024-06-14 08:00:16.870184+00:00,2024-06-14 08:00:16.874417+00:00,1,40987,39445,
79775,Senior Secondary Schooling,Sri Chaitanya Junior College,2014,2016,,,,-1,,{},2024-06-14 08:00:16.883733+00:00,2024-06-14 08:00:16.888728+00:00,1,40987,39445,
79776,Secondary Schooling | ICSE,St. Ann's School,2009,2014,,,,-1,,{},2024-06-14 08:00:16.893608+00:00,2024-06-14 08:00:16.897301+00:00,1,40987,39445,
79777,"Bachelor's degree, Civil Engineering",JNTUH College of Engineering Hyderabad,August 2018,September 2021,,,,-1,,{},2024-06-14 08:00:47.955138+00:00,2024-06-14 08:00:47.958487+00:00,1,40989,39447,
79778,"Diploma, Civil Engineering",Govt.polytechnic kothagudem,2015,2018,,,,-1,,{},2024-06-14 08:00:47.962363+00:00,2024-06-14 08:00:47.965734+00:00,1,40989,39447,
79779,BSC (Computer Science),University of Mumbai,2003,2005,,,,-1,,{},2024-06-14 08:01:17.245446+00:00,2024-06-14 08:01:17.249237+00:00,1,40990,39448,
79780,"B.E, Information Technology","Indira College of Engineering & Management, Pune",2008,2012,,,,-1,,{},2024-06-14 08:01:43.390955+00:00,2024-06-14 08:01:43.394347+00:00,1,40991,39449,
79781,"Master of Business Administration - MBA, Information Technology",Sikkim Manipal University - Distance Education,,,,,,-1,,{},2024-06-14 08:02:42.699863+00:00,2024-06-14 08:02:42.703846+00:00,1,40993,39451,
79782,Bachelor of Technology (BTech) in Electronics and Communications Engineering,Sri venkateswara engineering college,2004,2008,,,,-1,,{},2024-06-14 08:02:45.151031+00:00,2024-06-14 08:02:45.155012+00:00,1,40994,39452,
79783,Master of Technology - MTech,Shadan College Of Engineering And Technology,2015,2017,,,,-1,,{},2024-06-14 08:03:16.596147+00:00,2024-06-14 08:03:16.600289+00:00,1,40995,39453,
